machine_id,block_id,day,shift_id,assigned
sk_01,B76319,17,S2,1
fb_01,B76319,17,S3,1
fb_02,B76319,17,S3,1
fb_03,B76319,17,S3,1
pr_01,B76352,17,S3,1
pr_02,B76352,17,S3,1
pr_03,B76352,17,S3,1
fb_01,B77718,18,S1,1
fb_02,B76319,18,S1,1
fb_03,B76319,18,S1,1
ld_01,B76352,18,S1,1
ld_02,B76352,18,S1,1
ld_03,B76352,18,S1,1
pr_01,B76352,18,S1,1
pr_02,B76352,18,S1,1
pr_03,B76352,18,S1,1
sk_01,B76319,18,S1,1
sk_02,B76319,18,S1,1
fb_01,B76319,18,S2,1
fb_02,B76319,18,S2,1
fb_03,B76319,18,S2,1
ld_01,B76352,18,S2,1
pr_01,B76352,18,S2,1
pr_02,B76352,18,S2,1
pr_03,B76352,18,S2,1
fb_01,B77252,18,S3,1
fb_02,B77252,18,S3,1
fb_03,B76319,18,S3,1
pr_01,B76352,18,S3,1
pr_02,B76352,18,S3,1
pr_03,B76319,18,S3,1
fb_01,B77252,19,S1,1
fb_02,B76319,19,S1,1
fb_03,B76319,19,S1,1
ld_01,B76352,19,S1,1
ld_02,B76352,19,S1,1
ld_03,B76352,19,S1,1
pr_01,B76319,19,S1,1
pr_02,B76319,19,S1,1
pr_03,B76319,19,S1,1
sk_01,B76319,19,S1,1
sk_02,B76319,19,S1,1
sk_03,B76319,19,S1,1
fb_01,B77718,19,S2,1
fb_02,B77252,19,S2,1
fb_03,B77718,19,S2,1
ld_01,B76352,19,S2,1
ld_02,B76352,19,S2,1
pr_01,B76319,19,S2,1
pr_02,B76319,19,S2,1
pr_03,B76319,19,S2,1
fb_01,B77252,19,S3,1
fb_02,B77718,19,S3,1
fb_03,B77718,19,S3,1
pr_01,B76319,19,S3,1
pr_02,B76319,19,S3,1
pr_03,B76319,19,S3,1
fb_01,B77718,20,S1,1
fb_02,B76319,20,S1,1
fb_03,B77718,20,S1,1
ld_01,B76319,20,S1,1
ld_02,B76319,20,S1,1
ld_03,B76319,20,S1,1
pr_01,B81779,20,S1,1
pr_02,B76319,20,S1,1
pr_03,B76319,20,S1,1
sk_01,B77718,20,S1,1
fb_01,B77718,20,S2,1
fb_02,B76319,20,S2,1
fb_03,B77718,20,S2,1
ld_01,B76319,20,S2,1
pr_01,B76319,20,S2,1
pr_02,B76319,20,S2,1
pr_03,B76319,20,S2,1
fb_01,B77718,20,S3,1
fb_02,B77718,20,S3,1
fb_03,B77252,20,S3,1
pr_01,B76319,20,S3,1
pr_02,B76319,20,S3,1
pr_03,B76319,20,S3,1
fb_01,B77718,21,S1,1
fb_02,B77718,21,S1,1
fb_03,B77718,21,S1,1
ld_01,B76319,21,S1,1
ld_02,B76319,21,S1,1
ld_03,B76319,21,S1,1
pr_01,B77718,21,S1,1
pr_02,B81779,21,S1,1
pr_03,B81779,21,S1,1
sk_01,B76319,21,S1,1
sk_02,B76319,21,S1,1
sk_03,B77252,21,S1,1
fb_01,B77718,21,S2,1
fb_02,B77718,21,S2,1
fb_03,B77718,21,S2,1
ld_01,B76319,21,S2,1
sk_01,B77718,21,S2,1
